title,journal,year,keywords
Performance Evaluation of Supervised Machine Learning Algorithms for Intrusion Detection,Procedia Computer Science,2016,"Classification Algorithms, Intrusion Detection, Machine Learning, Network Security, Supervised Learning."
"Establishing the representational faithfulness of financial accounting information using multiparty security, network analysis and a blockchain",International Journal of Accounting Information Systems,2019,"Financial reporting, Audit, Faithful representation, Multiparty security, Identity, Public key cryptography, Blockchain, Design science"
VR training model for exploiting security in LPWAN,Procedia CIRP,2019,"Wide-area networks (LPWAN), Security, Virtual reality"
Ontology Model for Wellness Contents Recommendation Based on Risk Ratio EM,Procedia Computer Science,2015,"Wellness contents recommendation, Web Ontology Language, Expectation Maximization, Wireless sensor networks"
Learning desk fan usage preferences for personalised thermal comfort in shared offices using tree-based methods,Building and Environment,2019,"Personal thermal comfort, Smart buildings, Internet of things, Machine learning, Desk fans, Tree-based methods"
Energy aware cluster and neuro-fuzzy based routing algorithm for wireless sensor networks in IoT,Computer Networks,2019,"Cluster formation protocol, Cluster based routing, Neuro-fuzzy inference system, Neuro-fuzzy rules, Residual energy, Wireless sensor network, Internet of Things"
“IoT FOR ENVIRONMENTAL VARIABLES IN URBAN AREAS”,Procedia Computer Science,2017,"Internet of Things, smart city, Environmental variables"
Development of a Sensor System for Monitoring the Behavior of the Elderly Residents,Procedia Computer Science,2017,"MEMS acceleration sensor, monitoring support, aged person, vibration sensor, person’s action identification, estimation of degree of damage"
Self-Management Technique for Adaptive Robot Software based on Task Environment Similarity,Procedia Computer Science,2015,"Self-Update of Software Modules, Environment-S/W Module Relationship Information, Similarity of Task Environments, Adaptive Robot Software Framework."
Multi-sink distributed power control algorithm for Cyber-physical-systems in coal mine tunnels,Computer Networks,2019,"Multi-sink, Cyber-physical-systems, Coal mine tunnel, Monitoring, Power control"
A Critical Review of New Mobility Services for Urban Transport,Transportation Research Procedia,2016,"Mobility as a Service, new mobility concepts, mobility integration, index"
Artificial Versus Natural Light Source Identification with Light Intensity Sensors for Energy Monitoring,Procedia Engineering,2016,"Building Energy Management, Load monitoring, Lighting systems, Spectral analysis"
Formal definition and analysis of access control model based on role and attribute,Journal of Information Security and Applications,2018,"RBAC, ABAC, Attribute-based access control, Access control, RABAC"
"The Industrial Internet of Things as an enabler for a Circular Economy Hy-LP: A novel IIoT protocol, evaluated on a wind park’s SDN/NFV-enabled 5G industrial network",Computer Communications,2018,"Circular economy, Sustainability, 5G, Industrial Internet of Things, IIoT, Industrial cloud, CoAP, DPWS, M2M, MQTT, Lightweight interactions"
FbHash: A New Similarity Hashing Scheme for Digital Forensics,Digital Investigation,2019,"Data fingerprinting, Similarity digests, Fuzzy hashing, TF-IDF, Cosine-similarity"
Usability testing of a 3D touch screen kiosk system for way-finding,Computers in Human Behavior,2016,"Human-computer interface, Public spaces and computing, Evaluation methodologies, Multimedia/hypermedia systems, Navigation"
Online clinical decision support system using optimal deep neural networks,Applied Soft Computing,2019,"Internet of Health things (IoHT), Chronic kidney disease, Clinical decision support system, Deep neural network, Particle swarm optimization, Cloud"
An adaptive approach to longitudinal platooning with heterogeneous vehicle saturations,IFAC-PapersOnLine,2019,"Cooperative adaptive cruise control, engine constraints, heterogeneous platoon, model reference adaptive control"
"Enterprise information systems state of the art: Past, present and future trends",Computers in Industry,2016,"State-of-the-art, Future trends, Enterprise information systems, Enterprise architecture, Enterprise integration, Interoperability, Enterprise networking"
Integration of a do it yourself Hardware in a Lighting Device for the Management of Thermal Comfort and Energy Use,Energy Procedia,2016,"open source, DIY, IoT, control system, environmental monitoring system, building automation, thermal comfort, Indoor Air Quality, Indoor Lighting Quality, energy saving."
A formal framework for context-aware systems specification and verification,Journal of Systems and Software,2016,"Context-aware adaptive systems, Model-driven engineering, Formal methods"
Simulation and Evaluation of Multiple Sporadic Servers Rescheduling,IFAC-PapersOnLine,2015,"Adaptive scheduling, Distributed computing, Real-time systems, Rescheduling, Simulation"
From planning to resilience: The role (and value) of the emergency plan,Technological Forecasting and Social Change,2017,"Emergency plan management, Resilience, Quality management, Maturity levels, QuEP"
IoT sensors in sea water environment: Ahoy! Experiences from a short summer trial,Electronic Notes in Theoretical Computer Science,2019,"IoT, water sensors, Science Technology Engineering and Mathematics education (STEM), crowd sensing"
Blind Guide: An Ultrasound Sensor-based Body Area Network for Guiding Blind People,Procedia Computer Science,2015,"Blind, ultra-sound, BAN, guiding ;"
Agent-based Movement Analysis and Location Prediction in Cellular Networks,Procedia Computer Science,2015,"location prediction, human mobility analysis"
Huntington's Disease Assessment Using Tri Axis Accelerometers,Procedia Computer Science,2016,"Huntington's disease, Money Box Test, Upper limb movement, Triaxial accelerometer."
Two-year Worth of Smart Card Transaction Data – Extracting Longitudinal Observations for the Understanding of Travel Behaviour,Transportation Research Procedia,2015,"smart card, travel behaviour, longitudinal analysis, sampling, public transit"
A Context-Aware Authentication System for Mobile Cloud Computing,Procedia Computer Science,2018,"Authentication, Mobile Cloud Computing, Context-Awareness, Pervasive Computing"
An Unsupervised Approach for Reputation Generation,Procedia Computer Science,2019,"Semantic analysis, Opinion mining, Reputation generation, Machine learning"
Distributed computational model for shared processing on Cyber-Physical System environments,Computer Communications,2017,"Cyber-physical systems, Internet of things, Mobile computing, Modeling, Distributed computation"
PrivUML: A Privacy Metamodel,Procedia Computer Science,2019,"Privacy, Access Model Control, MDS"
Waternomics: A Cross-site Data Collection to Support the Development of a Water Information Platform,Procedia Engineering,2015,"water, ict, information systems, decision support, data analytics, data integration"
Blowing in the wind: Increasing social presence with a virtual human via environmental airflow interaction in mixed reality,Computers & Graphics,2019,"Mixed/augmented reality, Virtual humans, Social presence, Physical–virtual interaction, Environment-aware behavior, Airflow"
Analysis of CoAP Implementations for Industrial Internet of Things: A Survey,Procedia Computer Science,2017,"Benchmarking, CoAP, IIoT, Internet of Things, IoT, Industrial Internet of Things, Lightweight, Protocols, Survey"
A collective filtering based content transmission scheme in edge of vehicles,Information Sciences,2020,"Edge of vehicles, Collaborative filtering, Fog computing, Markov chains"
Beyond user experience of cloud service: Implication for value sensitive approach,Telematics and Informatics,2015,"Cloud computing, Value-sensitive approach, Cloud policy, User experience, User value"
Forecasting Temperature in a Smart Home with Segmented Linear Regression,Procedia Computer Science,2019,"Home Sensor Network, Temperature Forecasting, LASSO regression, Feature Selection, Model Predictive Control, Energy Efficiency, Internet of Things"
"Beacons positioning detection, a novel approach",Procedia Computer Science,2019,"Beacons, indoor location, Bluetooth, BLE, architecture, distance, position, precision"
Basic Daily Activity Recognition with a Data Glove,Procedia Computer Science,2019,"Data glove, Object recognition, Basic daily activities, Signal processing, Machine learning"
Quality of Private Information (QoPI) model for effective representation and prediction of privacy controls in mobile computing,Computers & Security,2017,"Privacy in mobile computing, Quality of private information, Context-aware privacy control, Multi-level privacy control, Fine-grained privacy control"
The role of ICTs in creating the new social public place of the digital era,Alexandria Engineering Journal,2016,"Digital place-making, ICTs, Social interaction, Social networking, Urban places"
Group affiliation detection in a challenging environment,Procedia Computer Science,2018,"social computing, proximity sensing"
Evaluating input use efficiency in agriculture through a stochastic frontier production: An application on a case study in Apulia (Italy),Journal of Cleaner Production,2019,"Water technical efficiency, Stochastic frontier production function, Sustainable crop production, Management irrigation"
Standards as a driving force that influences emerging technological trajectories in the converging world of the Internet and things: An investigation of the M2M/IoT patent network,Research Policy,2017,"M2M/IoT, Standards, Technological trajectory, Catch-up"
Smartphones as decision support in retail stores – The role of product category and gender,Procedia Computer Science,2018,"Smartphone, retail, decision support, product category, gender"
Optimizing Sorting Algorithms Using Ubiquitous Multi-core Massively Parallel GPGPU Processors,Procedia Computer Science,2016,"Bitonic sort, GPGPU, HPC"
Personal artifact ecologies in the context of mobile knowledge workers,Computers in Human Behavior,2017,"Artifact ecology, Mobile knowledge worker, Nomadic work, Mobile technology"
Context-Specific grounding of web natural descriptions to human-centered situations,Knowledge-Based Systems,2016,"Assistive robot, Decision making, Human-centered situation, Web information retrieval, Environmental context"
Evaluation of Natural User Interface: A Usability Study Based on the Leap Motion Device,Procedia Manufacturing,2015,"Heuristic evaluation, Photoshop CS6 software ;"
An Efficient CoMP-based Handover Scheme for Evolving Wireless Networks,Electronic Notes in Theoretical Computer Science,2018,"Coordinated Multi-Point (CoMP), Unnecessary Handover, Reference Signal Received Power (RSRP), Received Signal Received Quality (RSRQ)"
Coordinating mobile activities by integrating simulated and physical software agents,Information Sciences,2016,"Mobile computing, Multi-objective Context-dependent Distributed Constraint Optimization Problem (MCDCOP), Simulated and Physical Agents (SPA), Distributed flexible coordination mechanism, Two Stage Distributed Optimality Reaching Approach (2S-DORA)"
Uyghur Printed Document Image Retrieval Based on SIFT Features,Procedia Computer Science,2017,"Document image, Retrieval, SIFT feature, Distance ratio match"
A Safety Knowledge Representation of the Automatic Driving System,Procedia Computer Science,2016,"GSN, HAZOP, FTA, hazard, threat"
Multi-sensor Golf Swing Classification Using Deep CNN,Procedia Computer Science,2018,"Smart sport equipment, Sensor signals, Golf swing classification, Convolutional neural network"
Intelligent Manual Working Station through Assistive Systems,IFAC-PapersOnLine,2018,"Human-Machine Interface, Flexible Automation, Guidance System, Industrie 4.0, Smart Factory"
Abnormal Situations Interpretation in Industry 4.0 using Stream Reasoning,Procedia Computer Science,2019,"Industry 4.0, Stream Reasoning, Condition Monitoring, Ontology"
Performance Analysis of RPL Protocol for Data Gathering Applications in Wireless Sensor Networks,Procedia Computer Science,2019,"WSN, LLN, RPL, Routing, RDC, Contiki"
IoT-based students interaction framework using attention-scoring assessment in eLearning,Future Generation Computer Systems,2018,"Internet of Things (IoT), Interaction in eLearning, Learning behavior, Learning management system (LMS), Visual attention, IoT interoperable services"
Innovation adoption modeling in transportation: New models and data,Journal of Choice Modelling,2017,
VLPZ: The Vehicular Location Privacy Zone,Procedia Computer Science,2016,"VANETs, Location privacy, Pseudonym Changing, Security."
Using Opinion Mining Techniques in Tourism,Procedia Economics and Finance,2015,"opinion mining, sentiment analysis, web mining, hotel reviews, business intelligence"
An Interactive Upper Limb Rehab Device for Elderly Stroke Patients,Procedia CIRP,2017,"Rehabilitation device, Rapid Prototyping, Interactive game"
Mobile technology in clinical teaching,Nurse Education in Practice,2017,"Clinical setting, Nursing students, Clinical lecturer, iPad, Nurse education, Mobile technology, Smart technology"
Extracting commercialization opportunities of the Internet of Things: Measuring text similarity between papers and patents,Technological Forecasting and Social Change,2019,"Citation analysis, Text similarity, Internet of Things, Radio frequency identification, Near field communication, Sensor networks"
Beacon-based context-aware architecture for crowd sensing public transportation scheduling and user habits,Procedia Computer Science,2017,"crowdsourcing, mobile crowd sensing, smart transportation, beacons, context-awareness"
A Framework of a Smart Injection Molding System Based on Real-time Data,Procedia Manufacturing,2017,"CPS(Cyber-Physical Systems), IcT(Information & Communication Technology), IoT(Internet of Things), Injection molding, Smart factory"
Machine Learning Application to Quantify the Tremor Level for Parkinson’s Disease Patients,Procedia Computer Science,2018,"Machine learning, Parkinson disease, resting tremor, KNN classifier, Linear SVM classifier"
Implementing Multi-Robot Cafe by PRINTEPS with Service Quality Dimensions,Procedia Computer Science,2018,PRINTEPS;multi-robot cafe;service quality;SERVQUAL
"Pseudo geometric broadcast protocols in wireless sensor networks: Design, evaluation, and analysis",Computer Communications,2017,"Global positioning system, Pseudo geometric broadcast protocol, Performance evaluation, Wireless sensor networks"
Quantitative analysis of RFID’ publications from 2006 to 2016,International Journal of Information Management,2019,"Radio frequency identification, Bibliometric analysis, Lotka’s power law, Bradford’s Law of Scattering"
User Experience Metric for Augmented Reality Application: A Review,Procedia Computer Science,2018,"question answering system, arithmetic word problem, intelligent humanoid robot, natural language processing"
"Three-button gateway smart home interface (TrueSmartface) for elderly: Design, development and deployment",Measurement,2020,"Three-button, Smart, Home, Interface, Elderly"
Water footprint and economic water productivity of Italian wines with appellation of origin: Managing sustainability through an integrated approach,Science of The Total Environment,2018,"Wine, Appellation of origin, Italy, Sustainability, Prices, Water footprint"
I-Pet Individual Persuasive Eco-travel Technology: A Tool for VTBC Program Implementation,Transportation Research Procedia,2015,"Voluntary Travel Behaviour Change programs, Persuasion, Persuasive Technology"
Exploring the relationship of digital information sources and medication adherence,Computers in Biology and Medicine,2019,"Medication adherence, Digital information, Health literacy"
Smart Partial Flooding Routing Algorithms for 3D Ad Hoc Networks,Procedia Computer Science,2016,"MANET, geomatric graph, ad hoc network, geographical-based routing"
Wireless sensor networks: A survey on monitoring water quality,Journal of Applied Research and Technology,2017,"Real-time, Remote, Water quality monitoring, Wireless sensor networks"
Factors driving the adoption of smart home technology: An empirical assessment,Telematics and Informatics,2019,"Internet of Things, Perceived consumer innovativeness, Perceived cost, Smart home technology"
A Novel and Efficient De-duplication System for HDFS,Procedia Computer Science,2016,"De-duplication, Hadoop, Bigdata, HDFS(Hadoop Distributed File System), MD5, SHA-1"
Framework for a Smart Water Management System in the Context of Smart City Initiatives in India,Procedia Computer Science,2016,"Internet of Things, Smart City, Smart Water"
Biologically Inspired Design of Context-Aware Smart Products,Engineering,2019,"Design method, Biologically inspired design, Context-awareness, Intelligent design"
An adaptive middleware design to support the dynamic interpretation of domain-specific models,Information and Software Technology,2015,"Models at runtime, Adaptable middleware, Domain independence, Domain specific classifier"
Wireless Sensor Network Topology Control Sing Clustering,Procedia Computer Science,2016,
Event Prediction in an IoT Environment Using Naïve Bayesian Models,Procedia Computer Science,2016,"IoT, event prediction, probabilistic reasoning, Bayesian networks, Big Data"
Context Awareness Based Bandwidth Management Scheme for Ad hoc Network,Procedia Computer Science,2017,"Ad hoc Network, Context Awareness, Bandwidth Management, Bayes Network, Proportional Fairness"
Surveying LinkedIn Profiles of Data Scientists: The Case of the Philippines,Procedia Computer Science,2017,"LinkedIn, data scientist, job skills"
Multi-layer Defense Against Malware Attacks on Smartphone Wi-Fi Access Channel,Procedia Computer Science,2016,"Smartphone Security, SmartphoneWi-Fi, Mobile Malware attack, SSL Protocol, Smartphone Malware Threat."
Smart aluminum components: Printed sensors for integration into aluminum during high-pressure casting,Journal of Manufacturing Processes,2017,"Sensor integration in aluminum, Printed strain gauge, high-pressure die casting, material integrated sensing"
Context-Specific Separable Gesture Selection For Control of a Robotic Manufacturing Assistant ⁎⁎This work was supported by the Boeing Advanced Research Center at the University of Washington.,IFAC-PapersOnLine,2019,"human-machine interface, classification, computer vision, pattern recognition, differentiating actions, motion estimation"
The business transformation towards smart manufacturing: a literature overview about reference models and research agenda,IFAC-PapersOnLine,2017,"intelligent manufacturing systems, industry 4.0, smart manufacturing, reference models, business transformation"
Dynamic QoS Management for Flexible Multimedia Applications,IFAC-PapersOnLine,2017,"QoS Flexibility, Multi-Agent Systems, Multimedia, Model-Based Design"
DoS-IL: A Domain Specific Internet of Things Language for Resource Constrained Devices,Procedia Computer Science,2017,"Internet of Things (IoT), Architecture, IoT-A, Programmability, Interoperability, Domain Specific Language, Scalability"
Utilizing text recognition for the defects extraction in sewers CCTV inspection videos,Computers in Industry,2018,"Multi-frame integration, Sewer, Text recognition, MSERs, CCTV video"
IoT-based Healthcare Monitoring System for War Soldiers using Machine Learning,Procedia Computer Science,2018,"ZigBee, LoRaWAN, IED Bomb Detector, GPS Tracking, Biomedical Sensors, Navigation, WBASNs, Monitoring, Data Analytics"
Alternative-ingredient Recommendation Based on Co-occurrence Relation on Recipe Database,Procedia Computer Science,2015,"Cooking, Data mining, Bayesian method ;"
Enhancing smart-home environments using Magentix2,Journal of Applied Logic,2017,"Multi-Agent Systems, Normative Environment, Smart-Home"
E-health and wellbeing monitoring using smart healthcare devices: An empirical investigation,Technological Forecasting and Social Change,2018,"Internet of things, Smart healthcare, Smart cities, RFID, Healthcare computing, Healthcare systems, Innovation management"
Corporate social innovation: How firms learn to innovate for the greater good,Journal of Business Research,2016,"Corporate social innovation, Tacit knowledge, Knowledge transfer, Stakeholder engagement, Collaborative innovation, Co-creation, Emergence"
The ARCHADE: Ubiquitous Supercomputing for robotics. Part I: Philosophy,Robotics and Autonomous Systems,2019,"Ubiquitous supercomputing, The ARCHADE, Ubiquitous supercomputing ontology, High performance robotic computing - HPRC, HPRC cluster, Parallel robotic computing node - PRCN, General-purpose computing mission"
The Data-Driven Process Improvement Cycle: Using Digitalization for Continuous Improvement,IFAC-PapersOnLine,2018,"digitalization, digitization, Industry 4.0, improvement cycle, lean manufacturing"
Does the proactive personality mitigate the adverse effect of technostress on productivity in the mobile environment?,Telematics and Informatics,2015,"Technostress, Communication overload, Productivity, Proactive personality"
Recognising complex activities with histograms of relative tracklets,Computer Vision and Image Understanding,2017,"Activity recognition, Relative tracklets, Sensor fusion, Food preparation"
A Machine-to-Machine protocol benchmark for eHealth applications – Use case: Respiratory rehabilitation,Computer Methods and Programs in Biomedicine,2016,"Respiratory rehabilitation, IoT, M2M, Publish/subscribe, eHealth, Benchmark"
Evaluation of a smartphone application for self-care performance of patients with chronic hepatitis B: A randomized controlled trial,Applied Nursing Research,2016,"Smartphone, Application, Hepatitis B, Self-care"
Service robot system with an informationally structured environment,Robotics and Autonomous Systems,2015,"Informationally structured environment, Intelligent space, Distributed sensor, Service robot, Robot operating system, Motion planning"
"Privacy, boundaries and smart homes for health: An ethnographic study",Health & Place,2018,"Smart home, Ethnography, Privacy, Boundary work, Borders"
Collaborative e-learning systems using semantic data interoperability,Computers in Human Behavior,2016,"Intelligent system, Semantic e-learning, E-learning content management, Collaborative system"
Third-agers on the Internet: Impacts on Word-of-Mouth and Online Purchase Intentions,Procedia Economics and Finance,2015,"Elderly, consumer behavior, Internet, online purchase intentions."
It could rain: weather forecasting as a reasoning process,Procedia Computer Science,2018,
A wireless potentiostat for mobile chemical sensing and biosensing,Talanta,2015,"Potentiostat, Amperometry, Biosensor, Glucose test-strip, Radio-frequency identification, Near-field communication, Wireless sensor, Internet of things."
Handover Efficiency Improvement in Proxy Mobile IPv6(PMIPv6) Networks,Procedia Computer Science,2015,"NETLMM, PMIPv6, AAA server, PBU, PBA"
DDoS Attack Detection Using Fast Entropy Approach on Flow- Based Network Traffic,Procedia Computer Science,2015,"DDoS, Flow-based analysis, Fast Entropy"
A policy-aware Service Oriented Architecture for secure machine-to-machine communications,Ad Hoc Networks,2018,"M2M communications, Security policies, SOA, Service domain, Policy enforcement"
A comparison study on space-use analysis techniques and proposal of a novel method for determining space needs in public facilities,Sustainable Cities and Society,2018,"Space-use, Space needs assessment, Space efficiency, Public facilities optimization"
Misty clouds—A layered cloud platform for online user anonymity in Social Internet of Things,Future Generation Computer Systems,2019,"Anti-tracking, Anonymity, Cloud, Communication, Internet of Things, Privacy, Social"
On Bandwidth-efficient Handoff Scheme for PMIPv6 Networks,Procedia Computer Science,2016,"PMIPv6, Handoff, Mobility management, Bandwidth-efficient"
“More than just a library”: Public libraries in the ‘smart city’,"City, Culture and Society",2018,"Creative cities, Community planning, Cultural infrastructure, Digitisation, Libraries, Smart cities"
A clustering based routing algorithm in IoT aware Wireless Mesh Networks,Sustainable Cities and Society,2018,"Interference Delay Aware, Load balancing, Wireless Mesh Networks, Routing metrics, Internet protocol, Internet of Things"
Performance Analysis of Efficient Energy Routing Protocols in MANET,Procedia Computer Science,2015,"EPAR, MTPR, DSR, Residual Battery Power, Network Lifetime, Power Consumption"
Architecture and development of an Industrial Internet of Things framework for realizing services in Industrial Product Service Systems,Procedia CIRP,2018,"Industrial Internet of Things (IIoT), Industrial Product-Service Systems (IPSS), Data Analytics"
"Gaussian Process models for ubiquitous user comfort preference sampling; global priors, active sampling and outlier rejection",Pervasive and Mobile Computing,2017,"Active learning, Gaussian process models, Thermal preference, ASHRAE, PMV"
Mobile Maturity Models for Mobile Transformation,Procedia Computer Science,2016,"Mobile Transformation, Mobile Maturity Models, Mobile Enterprise, “MHETF”"
Analysis of the relation between computational thinking skills and various variables with the structural equation model,Computers & Education,2018,"Computational thinking, Evaluation methodologies, Media in education, Programming and programming languages, Secondary education"
Integrating Haptic Interaction into a Virtual Training System for Manual Procedures in Industrial Environments,IFAC-PapersOnLine,2018,"Training, Virtual reality, Human-machine interface, Haptic interaction, Interaction mechanisms, Maintenance, Adaptive systems"
Multi-level sample importance ranking based progressive transmission strategy for time series body sensor data,Computer Networks,2018,"Data analysis, Quality of services, Progressive transmission, Time series data, Body area networks"
Using Hall Effect Sensors for 3D Space Text Entry on Smartwatches,Procedia Computer Science,2016,"Text entry, smartwatch, mobile usability, hall effect sensors"
Performance awareness: Predicting cognitive performance during simulated shiftwork using chronobiological measures,Applied Ergonomics,2017,"Circadian rhythm, Body temperature, Occupational health"
Mobile Persuasive Design for HEMS Adaptation,Procedia Computer Science,2015,"mobile applications, persuasive design, home energy monitoring system (HEMS)"
Wireless power transfer system for a human motion energy harvester,Sensors and Actuators A: Physical,2016,"Piezoelectric, Energy, Harvester, Rotational, Wireless, Transfer"
"SMLXL: Scaling the smart city, from metropolis to individual","City, Culture and Society",2018,"Smart cities, Architecture, Design, Physical computing, Proxemics, Computational design"
A model for optimal service allocation in a smart environment,Pervasive and Mobile Computing,2017,"Ambient intelligence, Service allocation, Intelligent agents, Multiagent systems, Smart environments"
Step towards Multiplatform Framework for Supporting Pediatric and Neonatology Care Unit Decision Process,Procedia Computer Science,2015,"Multiplatform Framework, Pediatric Care, Neonatology, Person-centered, SWOT Analysis, Sabichão, INTCare, Intensive Care."
Towards an animal-centred ethics for Animal–Computer Interaction,International Journal of Human-Computer Studies,2017,"Animal-centred design, Other-than-human animal participants, Welfare-centred ethics, Mediated consent, Contingent consent, Participant-centred ethics"
Mathematical Model of Security Framework for Routing Layer Protocol in Wireless Sensor Networks,Procedia Computer Science,2016,"Wireless Sensor Networks, authentication, key distribution, mobility, Message Authentication Code"
Automatic data collection for detecting travel behavior: the IPET platform,Procedia Computer Science,2018,"data collection, persuasive technology, transport planning, personalized information, travel behavior, mobile systems, sustainble transport, urban mobility"
LSane: Collaborative Validation and Enrichment of Heterogeneous Observation Streams,Procedia Computer Science,2018,"Semantic Sensors, Semantic Stream Processing, Collaborative Shape Constraints, Collaborative Reasoning"
Toward Contextual Information Retrieval: A Review And Trends,Procedia Computer Science,2019,"Contextual Retrieval, Information Retrieval, User context"
Energy-efficient smart home systems: Infrastructure and decision-making process,Internet of Things,2019,"Home automation, Domotics, Smart home, Decision-making, Infrastructure, Survey, Systematic literature review"
Evaluation of an Augmented Reality Embedded On-line Shopping System,Procedia Manufacturing,2015,"online shopping, augmented reality, mouse performance."
Auto-weighted 2-dimensional maximum margin criterion,Pattern Recognition,2018,"Supervised learning, Auto-weighted parameter, 2-dimensional criterion, Dimensionality selection, Classification"
BAMHealthCloud: A biometric authentication and data management system for healthcare data in cloud,Journal of King Saud University - Computer and Information Sciences,2017,"Biometric, Authentication, Healthcare, Cloud, Healthcare cloud, Hadoop"
RFID Reader Planning for the Surveillance of Predictable Mobile Objects,Procedia Computer Science,2018,"RFID, Surveillance, Reader Planning, Mobile Objects, Predictable"
Lessons Learned from Context Aware Service Experiences in the Real World,Procedia Computer Science,2015,
A method of NC machine tools intelligent monitoring system in smart factories,Robotics and Computer-Integrated Manufacturing,2020,"CNC, Monitoring system, Data analysis, Machine tool, Smart factory"
Designing a Cloud Based Framework for HealthCare System and Applying Clustering Techniques for Region Wise Diagnosis,Procedia Computer Science,2015,"HealthCare system, Data mining, Cloud Computing, Open Stack, Cloud Foundry"
Socio-technical e-learning innovation and ways of learning in the ICT-space-time continuum to improve the employability skills of adults,Computers in Human Behavior,2018,"Employability, Lifelong e-Learning, Socio-technical systems, ICT-Space-time continuum, PLS-PM, Learning innovation"
Optimal household appliances scheduling of multiple smart homes using an improved cooperative algorithm,Energy,2019,"Demand response, Smart grid, Load scheduling, Smart home, Virtual energy storage system, Cooperative particle swarm optimization"
"Young children’s conceptions of computers, code, and the Internet",International Journal of Child-Computer Interaction,2019,
Ergonomics Design of Healthcare NFC-based System,Procedia Manufacturing,2015,"Cloud, Ergonomics, healthcare, Medical, NFC"
A Context-aware Decision Support Tool for Assessing and Mitigating Drivers of Civil Instability,Procedia Manufacturing,2015,"Machine-supported reasoning, Cross-cultural decision making, Context-aware systems, Topic modeling, Knowledge management, Civil affairs"
Digital storytelling and audience engagement in cultural heritage management: A collaborative model based on the Digital City of Thessaloniki,Journal of Cultural Heritage,2019,"Collaborative heritage management, Mediated cultural experience, Non-linear storytelling, Arts participation, Audience engagement, Crowdsourcing, Heritage policy"
Obtainment and Management of Informal Learning Experiences Among Saved Life Experiences via a Life Logging System: An Observation of a Software Developer,Procedia - Social and Behavioral Sciences,2015,"Life logging, informal learning, recording of learning experiences, management of learning experiences"
Event-centric Machine Strategic Reading Approach for Scientific Literature,Procedia Computer Science,2019,"Scientific literature, Scientific research events, Semantic link network, Machine reading"
BreathEZ: Using smartwatches to improve choking first aid,Smart Health,2019,"Healthcare, Smartwatch, Choking first aid, First aid"
Does innovation-orientation lead to retail industry growth? Empirical evidence from patent analysis,Journal of Retailing and Consumer Services,2017,"Innovation management, Technology management, Retailing, Patent analysis"
An Efficient Multipath Dynamic Routing Protocol for Mobile WSNs,Procedia Computer Science,2015,"Mobile WSN, Multipath Routing protocols, MDART, AOMDV, DHT"
The adoption of open source software in Uganda: Analyzing stakeholders and their underlying interests,Technology in Society,2019,
Human Mobility Prediction Through Twitter,Procedia Computer Science,2018,"Twitter, Next-place prediction, Trajectory patterns, Pattern similarity"
Context Aware Process Mining in Logistics,Procedia CIRP,2017,"Logistics, Process Mining, Context Awareness"
Smart City and information technology: A review,Cities,2019,"Smart city, Informatics, Digital city, Literature review, Internet of things, Urban policy"
An enhanced framework for multimedia data: Green transmission and portrayal for smart traffic system,Computers & Electrical Engineering,2018,"Internet of thing, Big data, Cloud computing, Green transmission, Artificial Neural Network, Object tracking"
The role of science and technology in sport,Procedia Computer Science,2018,"motor learning, sensors, sport activity signal acquisition, biofeedback system, sport data analysis, smart sport equipment"
RiSH: A robot-integrated smart home for elderly care,Robotics and Autonomous Systems,2018,"Elderly care, Smart home, Home service robot, Assistive technology"
Optimization model for web based multimodal interactive simulations,Expert Systems with Applications,2015,"Interactive web environments for medicine, Optimization, Simulation, Virtual reality, Web-based interaction"
Influencing over people with a social emotional model,Neurocomputing,2017,"Multi-agent systems, Neural networks, Emotional software agents"
The survival consequences of intellectual property for retail ventures,Journal of Retailing and Consumer Services,2018,"Survival, Intellectual property, Retail ventures"
Implementation of the Lifelong Learning Experiences Management Approach – Observations on the First Experiences,Procedia - Social and Behavioral Sciences,2015,"Life logging, lifelong learning, recording of learning experiences, management of learning experiences"
Group-based mobile learning: Do group size and sharing mobile devices matter?,Computers in Human Behavior,2015,"Game-based Learning, Mobile learning, Location-based games, Secondary education"
Subzone control method of stratum ventilation for thermal comfort improvement,Building and Environment,2019,"Thermal comfort improvement, Thermal preferences, Subzones, Control, Stratum ventilation"
Event Localization in the Internet of Things Environment,Procedia Computer Science,2017,"Event Localization, Direction of Arrival, Internet of Things"
Perceiving the person and their interactions with the others for social robotics – A review,Pattern Recognition Letters,2019,"Social robots, Human perception, Human–robot interaction, Social interactions, Proxemics"
Cluster Based Wireless Mobile Healthcare System for Physiological Data Monitoring,Procedia Computer Science,2016,"Wireless sensor network (WSN), Wireless body sensor network, Signal preprocessing, Patient monitoring, Mobile healthcare."
Resource-dependent contextual planning in AmI,Procedia Computer Science,2019,"Contextual planning, Ambient Intelligence, AmI, BDI"
Why do people use food delivery apps (FDA)? A uses and gratification theory perspective,Journal of Retailing and Consumer Services,2019,"Food delivery applications (FDAs), Intention to use, Scale development, Structural equation modelling (SEM), Uses and gratifications (U&G) theory"
Mobile crowd sensing of human-like intelligence using social sensors: A survey,Neurocomputing,2018,"Mobile crowd sensing, Social sensors, Social sensing"
A multi-layered policy generation and management engine for semantic policy mapping in clouds,Digital Communications and Networks,2019,"Cloud computing, Security, Security management, Policy management, Access control, Policy mapping"
