Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The Human Transition to Ergonomics of Ubiquitous Autonomous Work","Proceedings of the 20th Congress of the International Ergonomics Association (IEA 2018)","","","","10.1007/978-3-319-96071-5_195","Juan A. Castillo-MartínezAngela P. Cubillos-Rojas","2019","http://link.springer.com/chapter/10.1007/978-3-319-96071-5_195","Chapter"
"Digital Technology in Retail: Reasons and Trends of Development","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_110","Marianna S. SantalovaElvira P. LesnikovaAndrey I. KustovDariko K. BalahanovaSvetlana N. Nechaeva","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_110","Chapter"
"Semantic enrichment of spatio-temporal trajectories for worker safety on construction sites","Personal and Ubiquitous Computing","","23","5 - 6","10.1007/s00779-018-01199-5","Muhammad ArslanChristophe CruzDominique Ginhac","2019","http://link.springer.com/article/10.1007/s00779-018-01199-5","Article"
"Software Birthmark Design and Estimation: A Systematic Literature Review","Arabian Journal for Science and Engineering","","44","4","10.1007/s13369-019-03718-9","Shah NazirSara ShahzadNeelam Mukhtar","2019","http://link.springer.com/article/10.1007/s13369-019-03718-9","Article"
"FDFA: A fog computing assisted distributed analytics and detecting system for family activities","Peer-to-Peer Networking and Applications","","","","10.1007/s12083-018-0714-5","Fei GuJianwei NiuXin JinShui Yu","2019","http://link.springer.com/article/10.1007/s12083-018-0714-5","Article"
"Capability-Based Information Flow Control Model in the IoT","Innovative Mobile and Internet Services in Ubiquitous Computing","","","","10.1007/978-3-030-22263-5_6","Shigenari NakamuraTomoya EnokidoLeonard BarolliMakoto Takizawa","2020","http://link.springer.com/chapter/10.1007/978-3-030-22263-5_6","Chapter"
"The Cyber Economy as an Outcome of Digital Modernization Based on the Breakthrough Technologies of Industry 4.0","The Cyber Economy","","","","10.1007/978-3-030-31566-5_1","Elena G. PopkovaLubinda Haabazoka","2019","http://link.springer.com/chapter/10.1007/978-3-030-31566-5_1","Chapter"
"Man-Made World and Environmental Safety: Philosophical Interpretation","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_52","Aza D. Ioseliani","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_52","Chapter"
"Shaping the Systems of Digital Public Governance of the Digital Economy in Russia and Abroad","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_51","Sergey G. KamolovPolina V. ArtemovaVladimir E. Berezko","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_51","Chapter"
"Blockchain Based Integrated Authentication System","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-13-9341-9_69","Jeong Hoon JoJong Hyuk Park","2020","http://link.springer.com/chapter/10.1007/978-981-13-9341-9_69","Chapter"
"A recommendation approach for user privacy preferences in the fitness domain","User Modeling and User-Adapted Interaction","","","","10.1007/s11257-019-09246-3","Odnan Ref SanchezIlaria TorreYangyang HeBart P. Knijnenburg","2019","http://link.springer.com/article/10.1007/s11257-019-09246-3","Article"
"Advancing Sustainable Urbanism Processes: The Key Practical and Analytical Applications of Big Data for Urban Systems and Domains","Big Data Science and Analytics for Smart Sustainable Urbanism","","","","10.1007/978-3-030-17312-8_8","Simon Elias Bibri","2019","http://link.springer.com/chapter/10.1007/978-3-030-17312-8_8","Chapter"
"Integrated Approach to Train Environmentally-Responsible Students of Economics and Finance","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_73","Olga A. NikolaichukNina M. LizunovaLarisa Y. ObukhovaTatiana V. MoiseevaKurt Knut Richter","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_73","Chapter"
"Formation of Legal, Regulatory, and Informational Basis for Nanoindustry Development in Russia","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_29","Anatoliy Y. RyzhenkovElena I. Inshakova","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_29","Chapter"
"Criminal and Legal Protection of Relationships in the Area of Blockchains Functioning and Cryptocurrency Turnover: New Challenges","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_41","Sona M. Mkrtchian","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_41","Chapter"
"Neo-Industrialization of the Russian Economy: Technological and Digital Development","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_28","Elena I. InshakovaAnatoliy Y. RyzhenkovAgnessa O. Inshakova","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_28","Chapter"
"Teaching as a Collaborative Practice: Reframing Security Practitioners as Navigators","Transactions on Edutainment XV","","","","10.1007/978-3-662-59351-6_10","Patricia A. H. WilliamsLizzie Coles-Kemp","2019","http://link.springer.com/chapter/10.1007/978-3-662-59351-6_10","Chapter"
"Cost","Portable Health Records in a Mobile Society","","","","10.1007/978-3-030-19937-1_24","Jon Rokne","2019","http://link.springer.com/chapter/10.1007/978-3-030-19937-1_24","Chapter"
"Digital Economy and Socio-Economic Contradictions of Information Society","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_70","Nadezhda N. SolovykhIrina V. KorolevaEkaterina S. StompelevaGalina A. TerskayaVagif M. Aliev","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_70","Chapter"
"A framework for classifying trust for online systems","World Wide Web","","22","4","10.1007/s11280-018-0626-6","Anuradha YadavShampa ChakravertyRitu Sibal","2019","http://link.springer.com/article/10.1007/s11280-018-0626-6","Article"
"A Bibliometric Analysis and Research Agenda on Smart Cities","ICT Unbounded, Social Impact of Bright ICT Adoption","","","","10.1007/978-3-030-20671-0_22","Samuel Fosso WambaMaciel M. Queiroz","2019","http://link.springer.com/chapter/10.1007/978-3-030-20671-0_22","Chapter"
"Technological Renewal of Industrial Sectors Through Creation of High-tech Industrial Eco-clusters","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_112","Victor P. KuznetsovSvetlana N. KuznetsovaElena V. RomanovskayaNataliya S. AndryashinaEkaterina P. Garina","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_112","Chapter"
"Information System and Database for Simulation of Irrigated Crop Growing","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_121","Elena V. MelikhovaAleksey F. RogachevNatalia N. Skiter","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_121","Chapter"
"Institutional Model for the Protection of Rights of the Parties Concerned in the Sale of Goods and Services with the Use of Information Technologies","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_90","Igor B. IlovayskyYanina Y. KaylDmitry A. TokarevViktoria A. Usanova","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_90","Chapter"
"Current Directions of Application of Mobile Technologies in the Scientific and Educational Process","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_96","Olga A. AgeevaOleg M. TolmachevIgor A. ProdchenkoElena A. KirovaAleksandra V. Zakharova","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_96","Chapter"
"Secure opportunistic routing protocols: methods, models, and classification","Wireless Networks","","25","2","10.1007/s11276-017-1575-1","Mahmood SalehiAzzedine Boukerche","2019","http://link.springer.com/article/10.1007/s11276-017-1575-1","Article"
"Analysis of Blockchain technology: pros, cons and SWOT","Cluster Computing","","22","6","10.1007/s10586-018-2387-5","M. NiranjanamurthyB. N. NithyaS. Jagannatha","2019","http://link.springer.com/article/10.1007/s10586-018-2387-5","Article"
"Pyramid Scheme and Bitcoin","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_67","Elena V. LaptevaVladimir V. OstroumovElena M. Skvortsova","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_67","Chapter"
"Antecedents and Outcome of Deficient Self-Regulation in Unknown Wireless Networks Use Context: An Exploratory Study","Information Systems Frontiers","","21","6","10.1007/s10796-019-09942-w","Emmanuel W. AyaburiJames WairimuFrancis Kofi Andoh-Baidoo","2019","http://link.springer.com/article/10.1007/s10796-019-09942-w","Article"
"The Applicability of Blockchain Technology in the Mobility and Logistics Domain","Towards User-Centric Transport in Europe","","","","10.1007/978-3-319-99756-8_13","Wout HofmanChristopher Brewster","2019","http://link.springer.com/chapter/10.1007/978-3-319-99756-8_13","Chapter"
"Implementation of IDS Within a Crew Using ID3Algorithm in Wireless Sensor Local Area Network","Inventive Computation Technologies","","","","10.1007/978-3-030-33846-6_52","K. RajaM. Lilly Florence","2020","http://link.springer.com/chapter/10.1007/978-3-030-33846-6_52","Chapter"
"Study on the Smart Speaker Security Evaluations and Countermeasures","Advanced Multimedia and Ubiquitous Engineering","","","","10.1007/978-981-32-9244-4_7","Jiseop LeeSooyoung KangSeungjoo Kim","2020","http://link.springer.com/chapter/10.1007/978-981-32-9244-4_7","Chapter"
"A new overall quality indicator OQoC and the corresponding context inconsistency elimination algorithm based on OQoC and Dempster–Shafer theory","Soft Computing","","","","10.1007/s00500-019-04585-0","Min ChenHongji XuHailiang XiongLingling PanBaozhen DuFeifei Li","2019","http://link.springer.com/article/10.1007/s00500-019-04585-0","Article"
"Determinants of Users’ Intention to Use IoT: A Conceptual Framework","Emerging Trends in Intelligent Computing and Informatics","","","","10.1007/978-3-030-33582-3_92","Nura Muhammad BabaAhmad Suhaimi Baharudin","2020","http://link.springer.com/chapter/10.1007/978-3-030-33582-3_92","Chapter"
"Intelligent Car Parking System Based on Blockchain Processing Reengineering","Advances in E-Business Engineering for Ubiquitous Computing","","","","10.1007/978-3-030-34986-8_19","Quanyi HuSimon FongPeng QinJingzhi GuoYong ZhangDan XuYuanlan ChenJerome Yen","2020","http://link.springer.com/chapter/10.1007/978-3-030-34986-8_19","Chapter"
"Method Selection of Graphic-Analytical Justification of Effective Innovative Projects in the Industrial Safety Field","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_113","Sergey N. YashinVictor P. KuznetsovEgor V. KoshelevDmitry A. SukhanovElena V. Romanovskaya","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_113","Chapter"
"Securing Smart Healthcare Systems from Vulnerability Exploitation","Smart City and Informatization","","","","10.1007/978-981-15-1301-5_24","Gemini GeorgeSabu M. Thampi","2019","http://link.springer.com/chapter/10.1007/978-981-15-1301-5_24","Chapter"
"OAuth-Based Access Control Scheme Against Replay Attacks in IoT Environment","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-13-9341-9_60","Dae-Hwi LeeIm-Yeong Lee","2020","http://link.springer.com/chapter/10.1007/978-981-13-9341-9_60","Chapter"
"RobotFarm: A Smart and Sustainable Hydroponic Appliance for Meeting Individual and Collective Needs","Innovative Mobile and Internet Services in Ubiquitous Computing","","","","10.1007/978-3-030-22263-5_26","Silvia AngeloniGiorgia Pontetti","2020","http://link.springer.com/chapter/10.1007/978-3-030-22263-5_26","Chapter"
"Publicly verifiable secure communication with user and data privacy","Personal and Ubiquitous Computing","","","","10.1007/s00779-019-01214-3","Zhongyuan YaoYi Mu","2019","http://link.springer.com/article/10.1007/s00779-019-01214-3","Article"
"A Smart Living Framework: Towards Analyzing Security in Smart Rooms","Model and Data Engineering","","","","10.1007/978-3-030-32065-2_15","Walid Miloud DahmaneSamir OuchaniHafida Bouarfa","2019","http://link.springer.com/chapter/10.1007/978-3-030-32065-2_15","Chapter"
"Transformation-based processing of typed resources for multimedia sources in the IoT environment","Wireless Networks","","","","10.1007/s11276-019-02200-6","Honghao GaoYucong DuanLixu ShaoXiaobing Sun","2019","http://link.springer.com/article/10.1007/s11276-019-02200-6","Article"
"Critical situation management utilizing IoT-based data resources through dynamic contextual role modeling and activation","Computing","","101","7","10.1007/s00607-018-0654-1","A. S. M. KayesWenny RahayuTharam Dillon","2019","http://link.springer.com/article/10.1007/s00607-018-0654-1","Article"
"A User-Centric Design Framework for Smart Built Environments","Distributed, Ambient and Pervasive Interactions","","","","10.1007/978-3-030-21935-2_11","Archi DasguptaMohamed HandosaMark ManuelDenis Gračanin","2019","http://link.springer.com/chapter/10.1007/978-3-030-21935-2_11","Chapter"
"Establishing an Integrated Bank Operational Risk Management in the Context of the Development of a New Information System","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_69","Leyla Magomaeva","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_69","Chapter"
"Topical Issues of Ensuring of Synergy in the Process of Strategic Development of the Housing Maintenance and Utilities Complex of Region","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_79","Pavel N. ZakharovZhanna A. ZakharovaKarina V. NazvanovaArtur A. Posazhennikov","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_79","Chapter"
"Systemic Issues of Legal Regulation for Information Aggregator Operation","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_3","Tatiana V. DeryuginaAgnessa O. InshakovaMaksim V. Sevostyanov","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_3","Chapter"
"Methods of Macroeconomic Equilibrium Forming Based on the Hicks-Hansen Model","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_56","Elena A. PakhomovaAlexander V. PakhomovAlexey V. ShchegolevOlga V. Rozhkova","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_56","Chapter"
"Money Laundering, Illegal Markets, Tax Evasion: “Old” Realities of New Economy","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_60","Tatiana PirogovaAigul MiguelOlga Kosihina","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_60","Chapter"
"Transformation of Non-judicial Legal Procedures Under the Influence of the Internet","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_5","Marina L. DavydovaVladislav O. MakarovDanil V. Kononenko","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_5","Chapter"
"The Legal and Informational-Technological Regime of Access to the Secret Protected by the Law at an Initial Stage of Investigation","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_7","Oleg A. ZaytsevPavel S. PastukhovNatalia A. Solovyeva","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_7","Chapter"
"The Role of Tax Forecasting for the Economic Development of the Country","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_68","Irina A. ZhuravlevaLarisa P. GrundelTatiana V. ZverevaViktor V. MorozMarina V. Pyanova","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_68","Chapter"
"Blockchain and Future Monetary System","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_78","Maxim SharovMikhail Kolkovsky","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_78","Chapter"
"Information and Legal Concepts of E-Russia","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_14","Julia A. GavrilovaNikolay I. GrachevIgor V. Rostovshchikov","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_14","Chapter"
"Transaction Industries in Digital Economy","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_16","Irina V. MarushchakAnna V. LavrentyevaDaniil P. FrolovAnastasia S. Strekalova","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_16","Chapter"
"On the Content of Social Entrepreneurship","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_57","Margarita VasyuninaInna Lipatova","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_57","Chapter"
"Polysubject Jurisdictional Blockchain: Electronic Registration of Facts to Reduce Economic Conflicts","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_24","Alla E. KalininaAgnessa O. InshakovaAlexander I. Goncharov","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_24","Chapter"
"Educational Resource in the Paradigm of the Digital Economy","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_63","Natalia OrlovaOlga IgnatovaOlga Tereshina","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_63","Chapter"
"Security Assessment for Cascading Failures of Cyber-Physical Systems Under Target Attack Strategy","Security and Privacy in New Computing Environments","","","","10.1007/978-3-030-21373-2_11","Hao PengZhe KanDandan ZhaoJianmin HanZhaolong Hu","2019","http://link.springer.com/chapter/10.1007/978-3-030-21373-2_11","Chapter"
"Behaviorial-Based Network Flow Analyses for Anomaly Detection in Sequential Data Using Temporal Convolutional Networks","Advances in E-Business Engineering for Ubiquitous Computing","","","","10.1007/978-3-030-34986-8_12","Wen-Hui LinPing WangBao-Hua WuMing-Sheng JhouKuo-Ming ChaoChi-Chun Lo","2020","http://link.springer.com/chapter/10.1007/978-3-030-34986-8_12","Chapter"
"Reviewing and exploring innovative ubiquitous learning tools in higher education","Journal of Computing in Higher Education","","","","10.1007/s12528-019-09207-0","Shadi A. Aljawarneh","2019","http://link.springer.com/article/10.1007/s12528-019-09207-0","Article"
"An IoT Architecture of Microservices for Ambient Assisted Living Environments to Promote Aging in Smart Cities","How AI Impacts Urban Living and Public Health","","","","10.1007/978-3-030-32785-9_14","Hubert Kenfack NgankamHélène PigotMaxime ParenteauMaxime LussierAline AboujaoudéCatherine LalibertéMélanie CoutureNathalie BierSylvain Giroux","2019","http://link.springer.com/chapter/10.1007/978-3-030-32785-9_14","Chapter"
"A Study on Firewall Services with Edge Computers of vEPC in 5G Networks","Innovative Mobile and Internet Services in Ubiquitous Computing","","","","10.1007/978-3-319-93554-6_56","Fang-Yie LeuPing-Hung Chou","2019","http://link.springer.com/chapter/10.1007/978-3-319-93554-6_56","Chapter"
"On the Performance of ARM TrustZone","Distributed Applications and Interoperable Systems","","","","10.1007/978-3-030-22496-7_9","Julien AmacherValerio Schiavoni","2019","http://link.springer.com/chapter/10.1007/978-3-030-22496-7_9","Chapter"
"GTTracker: Location-aware hierarchical model for identifying M-commerce business opportunities","Peer-to-Peer Networking and Applications","","12","1","10.1007/s12083-017-0621-1","Paulo Henrique CazarottoCristiano André da CostaRodrigo da Rosa RighiJorge Luis Victória Barbosa","2019","http://link.springer.com/article/10.1007/s12083-017-0621-1","Article"
"Bright ICT: Social Media Analytics for Society and Crisis Management","ICT Unbounded, Social Impact of Bright ICT Adoption","","","","10.1007/978-3-030-20671-0_37","Deborah BunkerStefan StieglitzChristian EhnisAnthony Sleigh","2019","http://link.springer.com/chapter/10.1007/978-3-030-20671-0_37","Chapter"
"Evaluation of distributed stream processing frameworks for IoT applications in Smart Cities","Journal of Big Data","","6","1","10.1186/s40537-019-0215-2","Hamid NasiriSaeed NasehiMaziar Goudarzi","2019","http://link.springer.com/article/10.1186/s40537-019-0215-2","Article"
"Beacons of the Smart City","Public Libraries in the Smart City","","","","10.1007/978-981-13-2805-3_2","Dale LeorkeDanielle Wyatt","2019","http://link.springer.com/chapter/10.1007/978-981-13-2805-3_2","Chapter"
"Fast attack detection system using log analysis and attack tree generation","Cluster Computing","","22","1","10.1007/s10586-018-2269-x","Duhoe KimYong-Hyun KimDongil ShinDongkyoo Shin","2019","http://link.springer.com/article/10.1007/s10586-018-2269-x","Article"
"Blockchain Beyond Cryptocurrencies","Disrupting Finance","","","","10.1007/978-3-030-02330-0_10","Pierangelo RosatiTilen Čuk","2019","http://link.springer.com/chapter/10.1007/978-3-030-02330-0_10","Chapter"
"Smart Cabin: A Semantic-Based Framework for Indoor Comfort Customization Inside a Cruise Cabin","Fourth International Congress on Information and Communication Technology","","","","10.1007/978-981-15-0637-6_4","Atieh MahrooDaniele SpoladoreMassimiliano NolichRaol BuqiSara CarciottiMarco Sacco","2020","http://link.springer.com/chapter/10.1007/978-981-15-0637-6_4","Chapter"
"Development of a Cyber Incident Information Crawler","Innovative Mobile and Internet Services in Ubiquitous Computing","","","","10.1007/978-3-030-22263-5_43","Kazuki IkegamiMichihiro YamadaHiroaki KikuchiKoji Inui","2020","http://link.springer.com/chapter/10.1007/978-3-030-22263-5_43","Chapter"
"Master’s Educational Programs in the Context of the Digital Economy: Main Trends","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_86","Yulia G. LeskovaOlga A. SerovaNatalia Y. Lukyanova","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_86","Chapter"
"Multi-dimensional intelligence in smart physical objects","Information Systems Frontiers","","21","2","10.1007/s10796-017-9758-y","Federica CenaLuca ConsoleAssunta MatassaIlaria Torre","2019","http://link.springer.com/article/10.1007/s10796-017-9758-y","Article"
"LoRattle - An Exploratory Game with a Purpose Using LoRa and IoT","Entertainment Computing and Serious Games","","","","10.1007/978-3-030-34644-7_21","Marko RadetaMiguel RibeiroDinarte VasconcelosNuno Jardim Nunes","2019","http://link.springer.com/chapter/10.1007/978-3-030-34644-7_21","Chapter"
"eHealth in Zimbabwe, a Case of Techno-Social Development","Information and Communication Technologies for Development. Strengthening Southern-Driven Cooperation as a Catalyst for ICT4D","","","","10.1007/978-3-030-18400-1_2","Trymore ChawururaRonald ManhibiJanneke van DijkGertjan van Stam","2019","http://link.springer.com/chapter/10.1007/978-3-030-18400-1_2","Chapter"
"Mission SDGs Through Food Waste Management: Nature and Approaches","Internet of Things and Analytics for Agriculture, Volume 2","","","","10.1007/978-981-15-0663-5_12","Arindam ChakrabartyUday Sankar Das","2020","http://link.springer.com/chapter/10.1007/978-981-15-0663-5_12","Chapter"
"Computer Simulation and Optimization of Parameters of Configuration of the Contour of Moistening Under Drip Irrigation of Agricultures","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_122","Elena V. MelikhovaAleksey F. Rogachev","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_122","Chapter"
"Building Bellman-Egorov Equation for a Task of Optimal Control","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_123","A. KerimbekovO. K. Tairova","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_123","Chapter"
"The Method of Ensuring the Coherence of Results of Measures in Terms of the Cost of Production (Works, Services) and Changes in the Norms of Costs","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_100","Igor E. MizikovskyEkaterina P. GarinaAlexander P. GarinNataliya S. AndryashinaElena P. Kozlova","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_100","Chapter"
"Wireless Future of the Labor Market for Its Optimization and Harmonization with the Educational Market","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_102","Sergey V. ShkodinskyElena B. KazarinovaMaria V. ZaytsevaSvetlana P. BalashovaElena L. Gulkova","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_102","Chapter"
"Towards Industrial Assistance Systems: Experiences of Applying Multi-sensor Fusion in Harsh Environments","Physiological Computing Systems","","","","10.1007/978-3-030-27950-9_9","Michael HaslgrüblerBendikt GollanAlois Ferscha","2019","http://link.springer.com/chapter/10.1007/978-3-030-27950-9_9","Chapter"
"A Cumulative Prospect Theory Based Counterterrorism Resource Allocation Method under Interval Values","Journal of Systems Science and Systems Engineering","","28","4","10.1007/s11518-019-5423-y","Bingfeng GeXiaoxiong ZhangXiaolei ZhouYuejin Tan","2019","http://link.springer.com/article/10.1007/s11518-019-5423-y","Article"
"Indoor Location and Tracking System Using Computer Vision","Human Centered Computing","","","","10.1007/978-3-030-15127-0_61","Adrián J. Ramírez-DíazJosé Rodríguez-GarcíaSonia MendozaAmilcar Meneses Viveros","2019","http://link.springer.com/chapter/10.1007/978-3-030-15127-0_61","Chapter"
"Assisting People with Vision Impairments through Technology","Encyclopedia of Education and Information Technologies","","","","10.1007/978-3-319-60013-0_145-1","Vassilios ArgyropoulosJohn Ravenscroft","2019","http://link.springer.com/referenceworkentry/10.1007/978-3-319-60013-0_145-1","ReferenceWorkEntry"
"Service Integration Methodology for Convergence Service in Science and Technology","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-13-9341-9_84","YunHee KangR. Young Chul KimHeeSeok Choi","2020","http://link.springer.com/chapter/10.1007/978-981-13-9341-9_84","Chapter"
"The Convenient City: Smart Urbanism for a Resilient City","Data-driven Multivalence in the Built Environment","","","","10.1007/978-3-030-12180-8_2","Rob Roggema","2020","http://link.springer.com/chapter/10.1007/978-3-030-12180-8_2","Chapter"
"Power Analysis and Protection on SPECK and Its Application in IoT","Security and Privacy in Communication Networks","","","","10.1007/978-3-030-37231-6_20","Jing GeAn WangLiehuang ZhuXin LiuNing ShangGuoshuang Zhang","2019","http://link.springer.com/chapter/10.1007/978-3-030-37231-6_20","Chapter"
"Network Anomaly Detection Based on Artificial Intelligence","Recent Advances in Intelligent Information Hiding and Multimedia Signal Processing","","","","10.1007/978-3-030-03748-2_23","Chia-Mei ChenWen-Ling LoGu-Hsin LaiYu-Chen Hu","2019","http://link.springer.com/chapter/10.1007/978-3-030-03748-2_23","Chapter"
"An Analytical Modeling for Boosting Malicious Mobile Agent Participation in Mobile Adhoc Network","Intelligent Systems Applications in Software Engineering","","","","10.1007/978-3-030-30329-7_25","B. K. ChethanM. SiddappaH. S. Jayanna","2019","http://link.springer.com/chapter/10.1007/978-3-030-30329-7_25","Chapter"
"Survey of Digital Signature Technology for IoT Environment: Focused on KSI’s Global Timestamping Technique","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-13-9341-9_89","Gyeong-Jin RaIm-Yeong Lee","2020","http://link.springer.com/chapter/10.1007/978-981-13-9341-9_89","Chapter"
"Inquiring Evaluation Aspects of Universal Design and Natural Interaction in Socioenactive Scenarios","Universal Access in Human-Computer Interaction. Theory, Methods and Tools","","","","10.1007/978-3-030-23560-4_4","Andressa Cristina dos SantosVanessa Regina Margareth Lima MaikeYusseli Lizeth Méndez MendozaJosé Valderlei da SilvaRodrigo BonacinJulio Cesar Dos ReisMaria Cecília Calani Baranauskas","2019","http://link.springer.com/chapter/10.1007/978-3-030-23560-4_4","Chapter"
"Today’s Internet for Tomorrow’s Cities: On Algorithmic Culture and Urban Imaginaries","Second International Handbook of Internet Research","","","","10.1007/978-94-024-1555-1_23","Marcus FothPeta MitchellCarlos Estrada-Grajales","2020","http://link.springer.com/referenceworkentry/10.1007/978-94-024-1555-1_23","ReferenceWorkEntry"
"The Three Generations of Electronic Government: From Service Provision to Open Data and to Policy Analytics","Electronic Government","","","","10.1007/978-3-030-27325-5_1","Yannis CharalabidisEuripidis LoukisCharalampos AlexopoulosZoi Lachana","2019","http://link.springer.com/chapter/10.1007/978-3-030-27325-5_1","Chapter"
"A New WSN Mesh Protocol for More Transparent IoT Devices","Gerontechnology","","","","10.1007/978-3-030-16028-9_9","Marino LinajeEnrique Carlos Mesías","2019","http://link.springer.com/chapter/10.1007/978-3-030-16028-9_9","Chapter"
