Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Malware Similarity Analysis Based on Graph Similarity Flooding Algorithm","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_5","Jing LiuYongjun WangPeidai XieYuan WangZhijian Huang","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_5","Chapter"
"A Functional Relationship Based Attestation Scheme for Detecting Compromised Nodes in Large IoT Networks","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_101","Yong-Hyuk MoonYong-Sung JeonChan-Hyun Youn","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_101","Chapter"
"Using Wavelet Transform to Disaggregate Electrical Power Consumption into the Major End-Uses","Ubiquitous Computing and Ambient Intelligence. Personalisation and User Adapted Services","","","","10.1007/978-3-319-13102-3_45","Francisco-Javier Ferrández-PastorJuan-Manuel García-ChamizoMario Nieto-HidalgoVicente Romacho-AgudFrancisco Flórez-Revuelta","2014","http://link.springer.com/chapter/10.1007/978-3-319-13102-3_45","Chapter"
"A Data Distribution Model for Large-Scale Context Aware Systems","Mobile and Ubiquitous Systems: Computing, Networking, and Services","","","","10.1007/978-3-319-11569-6_48","Soumi ChattopadhyayAnsuman BanerjeeNilanjan Banerjee","2014","http://link.springer.com/chapter/10.1007/978-3-319-11569-6_48","Chapter"
"Automated Synthesis of Application-Layer Connectors from Automata-Based Specifications","Language and Automata Theory and Applications","","","","10.1007/978-3-319-15579-1_1","Marco AutiliPaola InverardiFilippo MignosiRomina SpalazzeseMassimo Tivoli","2015","http://link.springer.com/chapter/10.1007/978-3-319-15579-1_1","Chapter"
"Enabling GPU Support for the COMPSs-Mobile Framework","Accelerator Programming Using Directives","","","","10.1007/978-3-319-74896-2_5","Francesc LordanRosa M. BadiaWen-Mei Hwu","2018","http://link.springer.com/chapter/10.1007/978-3-319-74896-2_5","Chapter"
"Fog Based IIoT Architecture Based on Big Data Analytics for 5G-networked Smart Factory","Computational Science and Its Applications – ICCSA 2019","","","","10.1007/978-3-030-24296-1_5","Yohan HanByungjun ParkJongpil Jeong","2019","http://link.springer.com/chapter/10.1007/978-3-030-24296-1_5","Chapter"
"Mitigating Multi-tenant Interference in Continuous Mobile Offloading","Cloud Computing – CLOUD 2018","","","","10.1007/978-3-319-94295-7_2","Zhou FangMulong LuoTong YuOle J. MengshoelMani B. SrivastavaRajesh K. Gupta","2018","http://link.springer.com/chapter/10.1007/978-3-319-94295-7_2","Chapter"
"AutoCSD: Automatic Cloud System Deployment in Data Centers","Cloud Computing and Big Data","","","","10.1007/978-3-319-28430-9_6","Tao XieHaibao Chen","2015","http://link.springer.com/chapter/10.1007/978-3-319-28430-9_6","Chapter"
"They Are Looking... Why Not Interacting? Understanding Interaction around the Public Display of Community Sourced Videos","Ubiquitous Computing and Ambient Intelligence. Personalisation and User Adapted Services","","","","10.1007/978-3-319-13102-3_28","João CasalRui José","2014","http://link.springer.com/chapter/10.1007/978-3-319-13102-3_28","Chapter"
"Mobility Pattern Based Misbehavior Detection to Avoid Collision in Vehicular Adhoc Networks","Ubiquitous Computing and Ambient Intelligence. Personalisation and User Adapted Services","","","","10.1007/978-3-319-13102-3_50","Mohammad Abdur RazzaqueFuad A. GhalebAnazida Zainal","2014","http://link.springer.com/chapter/10.1007/978-3-319-13102-3_50","Chapter"
"Design & Implementation for Emergency Broadcasting Using Agencies’ Disaster Information","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_98","Geum-Young MinHyoung-Seop Shim","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_98","Chapter"
"Human-Computer vs. Consumer-Store Interaction in a Multichannel Retail Environment: Some Multidisciplinary Research Directions","HCI in Business","","","","10.1007/978-3-319-07293-7_33","Chris LazarisAdam Vrechopoulos","2014","http://link.springer.com/chapter/10.1007/978-3-319-07293-7_33","Chapter"
"MELON: A Persistent Message-Based Communication Paradigm for MANETs","Mobile and Ubiquitous Systems: Computing, Networking, and Services","","","","10.1007/978-3-319-11569-6_59","Justin CollinsRajive Bagrodia","2014","http://link.springer.com/chapter/10.1007/978-3-319-11569-6_59","Chapter"
"Fall Detection Using Body-Worn Accelerometer and Depth Maps Acquired by Active Camera","Hybrid Artificial Intelligent Systems","","","","10.1007/978-3-319-32034-2_35","Michal KepskiBogdan Kwolek","2016","http://link.springer.com/chapter/10.1007/978-3-319-32034-2_35","Chapter"
"Applying a Social Emotional Model in Human-Agent Societies","Highlights of Practical Applications of Agents, Multi-Agent Systems, and Sustainability - The PAAMS Collection","","","","10.1007/978-3-319-19033-4_33","J. A. RinconV. JulianC. Carrascosa","2015","http://link.springer.com/chapter/10.1007/978-3-319-19033-4_33","Chapter"
"The Brightnest Web-Based Home Automation System","Ubiquitous Computing and Ambient Intelligence. Personalisation and User Adapted Services","","","","10.1007/978-3-319-13102-3_14","Benjamin PlancheBryan Isaac MalynDaniel Buldon BlancoManuel Cerrillo Bermejo","2014","http://link.springer.com/chapter/10.1007/978-3-319-13102-3_14","Chapter"
"Prediction of Diabetes Mellitus Based on Boosting Ensemble Modeling","Ubiquitous Computing and Ambient Intelligence. Personalisation and User Adapted Services","","","","10.1007/978-3-319-13102-3_6","Rahman AliMuhammad Hameed SiddiqiMuhammad IdrisByeong Ho KangSungyoung Lee","2014","http://link.springer.com/chapter/10.1007/978-3-319-13102-3_6","Chapter"
"Application and Development of Service Integration Platform for Agricultural Products","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_99","Geum-Young MinMin-Ho JungHyoung-Seop Shim","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_99","Chapter"
"Software Design and New Media Design","Building Bridges: HCI, Visualization, and Non-formal Modeling","","","","10.1007/978-3-642-54894-9_13","Geert de Haan","2014","http://link.springer.com/chapter/10.1007/978-3-642-54894-9_13","Chapter"
"A New Method for Automated GUI Modeling of Mobile Applications","Mobile and Ubiquitous Systems: Computing, Networking, and Services","","","","10.1007/978-3-319-11569-6_54","Jing XuXiang DingGuanling ChenJill DruryLinzhang WangXuandong Li","2014","http://link.springer.com/chapter/10.1007/978-3-319-11569-6_54","Chapter"
"Notifications for Collaborative Documents Editing","Ubiquitous Computing and Ambient Intelligence. Personalisation and User Adapted Services","","","","10.1007/978-3-319-13102-3_16","Gustavo LópezLuis A. Guerrero","2014","http://link.springer.com/chapter/10.1007/978-3-319-13102-3_16","Chapter"
"Alternative Reality: An Augmented Daily Urban World Inserting Virtual Scenes Temporally","Ubiquitous Computing and Ambient Intelligence","","","","10.1007/978-3-319-48746-5_36","Fumiko IshizawaTatsuo Nakajima","2016","http://link.springer.com/chapter/10.1007/978-3-319-48746-5_36","Chapter"
"Formal Specification for Ambient Assisted Living Scenarios","Ubiquitous Computing and Ambient Intelligence","","","","10.1007/978-3-319-67585-5_51","Hubert Kenfack NgankamHélène PigotMarc FrappierCamila H. OliveiraSylvain Giroux","2017","http://link.springer.com/chapter/10.1007/978-3-319-67585-5_51","Chapter"
"Model Checking for Turn-Based Probability Epistemic Game Structure","Human Centered Computing","","","","10.1007/978-3-030-15127-0_25","Guocheng ZhengPin WangXinyu ZhangChuan ZhangMengao LiYuxiao YangWeifeng Xu","2019","http://link.springer.com/chapter/10.1007/978-3-030-15127-0_25","Chapter"
"Distributed Unsupervised Clustering for Outlier Analysis in the Biggest Milky Way Survey: ESA Gaia Mission","Ubiquitous Computing and Ambient Intelligence","","","","10.1007/978-3-319-67585-5_81","Daniel GarabatoCarlos DafonteMarco A. ÁlvarezMinia Manteiga","2017","http://link.springer.com/chapter/10.1007/978-3-319-67585-5_81","Chapter"
"OCLS: A Simplified High-Level Abstraction Based Framework for Heterogeneous Systems","Advances in Parallel and Distributed Computing and Ubiquitous Services","","","","10.1007/978-981-10-0068-3_7","Shusen WuXiaoshe DongHeng ChenBochao Dang","2016","http://link.springer.com/chapter/10.1007/978-981-10-0068-3_7","Chapter"
"Preserving Privacy in Location-Based Services Using Sudoku Structures","Information Systems Security","","","","10.1007/978-3-319-13841-1_26","Sumitra BiswalGoutam PaulShashwat Raizada","2014","http://link.springer.com/chapter/10.1007/978-3-319-13841-1_26","Chapter"
"Development of a Cursor for Persons with Low Vision","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_76","Jong Won LeeJiSu ParkJong Il LeeJin Gon Shon","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_76","Chapter"
"System Model for a Continuous Improvement of Road Mass Transit","Ubiquitous Computing and Ambient Intelligence","","","","10.1007/978-3-319-67585-5_22","Teresa CristóbalGabino PadrónAlexis Quesada-ArencibiaFrancisco AlayónCarmelo R. García","2017","http://link.springer.com/chapter/10.1007/978-3-319-67585-5_22","Chapter"
"Implementing a Platform Agnostic Architecture to Accommodate Heterogeneous Data","Ubiquitous Computing and Ambient Intelligence. Personalisation and User Adapted Services","","","","10.1007/978-3-319-13102-3_34","Rachel GawleyChris NugentAlberto Calzada","2014","http://link.springer.com/chapter/10.1007/978-3-319-13102-3_34","Chapter"
"Speech-to-Text-Based Life Log System for Smartphones","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_90","Dongmahn SeoJoon-Min Gil","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_90","Chapter"
"iCare: An Interface Design Model for Remote Communicating and Monitoring of Children Care","HCI International 2015 - Posters’ Extended Abstracts","","","","10.1007/978-3-319-21380-4_67","Tao XuYun Zhou","2015","http://link.springer.com/chapter/10.1007/978-3-319-21380-4_67","Chapter"
"A Sensor-Driven Framework for Rapid Prototyping of Mobile Applications Using a Context-Aware Approach","Ubiquitous Computing and Ambient Intelligence","","","","10.1007/978-3-319-48746-5_48","Borja GamechoLuis GardeazabalJulio Abascal","2016","http://link.springer.com/chapter/10.1007/978-3-319-48746-5_48","Chapter"
"Linked Spatial Data for Location-Aware Services","Ubiquitous Computing and Ambient Intelligence. Personalisation and User Adapted Services","","","","10.1007/978-3-319-13102-3_38","Aimar RodríguezEduardo CastillejoDiego López-de-Ipiña","2014","http://link.springer.com/chapter/10.1007/978-3-319-13102-3_38","Chapter"
"Design and Implementation of the Basic Technology for Realtime Smart Metering System Using Power Line Communication for Smart Grid","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_94","Jun-Ho HuhDong-Geun LeeKyungryong Seo","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_94","Chapter"
"An Efficient Key Management Scheme for Advanced Metering Infrastructure","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_18","Min-Sik KimSeung-Kyu ParkHyo-Seong KimKwang-il Hwang","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_18","Chapter"
"Soft Sensing as Class-Imbalance Binary Classification – A Lattice Machine Approach","Ubiquitous Computing and Ambient Intelligence. Personalisation and User Adapted Services","","","","10.1007/978-3-319-13102-3_85","Huan WanHui WangGongde GuoSong Lin","2014","http://link.springer.com/chapter/10.1007/978-3-319-13102-3_85","Chapter"
"Conquest - Outdoor Based Games Enhanced with Sensors","Ubiquitous Computing and Ambient Intelligence. Personalisation and User Adapted Services","","","","10.1007/978-3-319-13102-3_13","Mikael ÅhlénMartin WinbjörkSimon Hietala","2014","http://link.springer.com/chapter/10.1007/978-3-319-13102-3_13","Chapter"
"Dynamic Replication and Deployment of Services in Mobile Environments","New Contributions in Information Systems and Technologies","","","","10.1007/978-3-319-16486-1_85","Gabriel Guerrero-ContrerasCarlos Rodríguez-DomínguezSara Balderas-DíazJosé Luis Garrido","2015","http://link.springer.com/chapter/10.1007/978-3-319-16486-1_85","Chapter"
"Living with Listening Services: Privacy and Control in IoT","Internet Science","","","","10.1007/978-3-319-18609-2_8","Donald McMillanAntoine Loriette","2015","http://link.springer.com/chapter/10.1007/978-3-319-18609-2_8","Chapter"
"Low-Cost Smart Surveillance System for Smart Cities","Universal Access in Human-Computer Interaction. Virtual, Augmented, and Intelligent Environments","","","","10.1007/978-3-319-92052-8_26","Rúben PereiraDiogo CorreiaLuís MendesCarlos RabadãoJoão BarrosoAntónio Pereira","2018","http://link.springer.com/chapter/10.1007/978-3-319-92052-8_26","Chapter"
"A Service for Semantic Enrichment of Smartphone Photographs","Ubiquitous Computing and Ambient Intelligence. Personalisation and User Adapted Services","","","","10.1007/978-3-319-13102-3_15","Andrew EnnisChris NugentPhilip MorrowLiming Luke ChenGeorge IoannidisAlexandru Stan","2014","http://link.springer.com/chapter/10.1007/978-3-319-13102-3_15","Chapter"
"Exploring an Open Data Initiative Ontology for Shareable Smart Environment Experimental Datasets","Ubiquitous Computing and Ambient Intelligence","","","","10.1007/978-3-319-67585-5_42","Ian McChesneyChris NugentJoseph RaffertyJonathan Synnott","2017","http://link.springer.com/chapter/10.1007/978-3-319-67585-5_42","Chapter"
"Cardiovascular Synchrony for Determining Significant Group in Social Life Logging","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_28","Jincheol WooYoung-Ju KimSeung Seob ShinYoung Ho JoHojung ChoiMincheol Whang","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_28","Chapter"
"Combining Fog Architectures and Distributed Event-Based Systems for Mobile Sensor Location Certification","Ubiquitous Computing and Ambient Intelligence","","","","10.1007/978-3-319-67585-5_3","Fátima Castro-JulDenis ConanSophie ChabridonRebeca P. Díaz RedondoAna Fernández VilasChantal Taconet","2017","http://link.springer.com/chapter/10.1007/978-3-319-67585-5_3","Chapter"
"A Combination of PSO-Based Feature Selection and Tree-Based Classifiers Ensemble for Intrusion Detection Systems","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_71","Bayu Adhi TamaKyung Hyune Rhee","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_71","Chapter"
"Artificial Intelligence Applied in the Multi-label Problem of Chronic Pelvic Pain Diagnosing","Ubiquitous Computing and Ambient Intelligence","","","","10.1007/978-3-319-48746-5_9","Vinicius OliverioOmero Bendicto Poli-Neto","2016","http://link.springer.com/chapter/10.1007/978-3-319-48746-5_9","Chapter"
"Hierarchies of Understanding: Preparing for A.I.","Learning and Collaboration Technologies. Design, Development and Technological Innovation","","","","10.1007/978-3-319-91743-6_2","Scott A. CarpenterCatherine LiuWeixun CaoAllen Yao","2018","http://link.springer.com/chapter/10.1007/978-3-319-91743-6_2","Chapter"
"SmartCity: Public Transportation Network Planning Based on Cloud Services, Crowd Sourcing and Spatial Decision Support Theory","Ubiquitous Computing and Ambient Intelligence. Personalisation and User Adapted Services","","","","10.1007/978-3-319-13102-3_60","Jonathan FrezNelson BaloianGusravo Zurita","2014","http://link.springer.com/chapter/10.1007/978-3-319-13102-3_60","Chapter"
"User-Centered Design of Agriculture Automation Systems Using Internet of Things Paradigm","Ubiquitous Computing and Ambient Intelligence","","","","10.1007/978-3-319-67585-5_7","Francisco-Javier Ferrández-PastorJuan-Manuel García-ChamizoMario Nieto HidalgoJosé Mora-Martínez","2017","http://link.springer.com/chapter/10.1007/978-3-319-67585-5_7","Chapter"
"Implementation of Unified Gesture Library for Multiple-Devices Environments","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_77","EunJi SongSunghan KimGeun-Hyung Kim","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_77","Chapter"
"Methods to Observe and Evaluate Interactions with Everyday Context-Aware Objects","Ubiquitous Computing and Ambient Intelligence","","","","10.1007/978-3-319-48746-5_39","Manuel PortelaCarlos Granell-Canut","2016","http://link.springer.com/chapter/10.1007/978-3-319-48746-5_39","Chapter"
"Biomedical Ontology Matching as a Service","Smart Homes and Health Telematics","","","","10.1007/978-3-319-14424-5_21","Muhammad Bilal AminMahmood AhmadWajahat Ali KhanSungyoung Lee","2015","http://link.springer.com/chapter/10.1007/978-3-319-14424-5_21","Chapter"
"Designing an Application Store for the Internet of Things: Requirements and Challenges","Ambient Intelligence","","","","10.1007/978-3-319-26005-1_21","Simon StastnyBabak A. FarshchianThomas Vilarinho","2015","http://link.springer.com/chapter/10.1007/978-3-319-26005-1_21","Chapter"
"A Personalized Smart Living Room","Distributed, Ambient, and Pervasive Interactions","","","","10.1007/978-3-319-07788-8_4","Yu-Chun HuangScottie Chih-Chieh Huang","2014","http://link.springer.com/chapter/10.1007/978-3-319-07788-8_4","Chapter"
"E-COmate: What’s Your Non-consumption?","Advances in Computational Intelligence","","","","10.1007/978-3-319-19258-1_40","Veranika LimMathias FunkMatthias RauterbergLucio MarcenaroCarlo Regazzoni","2015","http://link.springer.com/chapter/10.1007/978-3-319-19258-1_40","Chapter"
"Group Awareness in Task Context-Aware E-mail Platform","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_11","Masashi Katsumata","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_11","Chapter"
"Designing the Human in the Loop of Self-Adaptive Systems","Ubiquitous Computing and Ambient Intelligence","","","","10.1007/978-3-319-48746-5_45","Miriam GilVicente PelechanoJoan FonsManoli Albert","2016","http://link.springer.com/chapter/10.1007/978-3-319-48746-5_45","Chapter"
"The Design of Log Analysis Mechanism in SDN Quarantined Network System","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_48","Tae-Young KimNam-Uk KimTai-Myoung Chung","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_48","Chapter"
"Intelligent Management of Parking Lots in Urban Contexts","Ubiquitous Computing and Ambient Intelligence. Sensing, Processing, and Using Environmental Information","","","","10.1007/978-3-319-26401-1_47","Juan A. Vera-GomezAlexis Quesada-ArencibiaCarmelo R. GarcíaRaúl Suárez-MorenoFernando Guerra-Hernández","2015","http://link.springer.com/chapter/10.1007/978-3-319-26401-1_47","Chapter"
"Conceptual Design of a Network-Based Personalized Research Environment","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_93","Heeseok ChoiJiyoung ParkHyungseop ShimBeomjong You","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_93","Chapter"
"Load Shedding for Window Queries Over Continuous Data Streams","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_23","Kwang Rak KimHyeon Gyu Kim","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_23","Chapter"
"Towards an Interactive and Iterative Process to Design Natural Interaction Techniques","HCI International 2014 - Posters’ Extended Abstracts","","","","10.1007/978-3-319-07857-1_4","Lucio Polese CossioFelipe Eduardo LammelMilene Selbach Silveira","2014","http://link.springer.com/chapter/10.1007/978-3-319-07857-1_4","Chapter"
"Investigating Secondary Students’ Stance on IoT Driven Educational Activities","Ambient Intelligence","","","","10.1007/978-3-030-03062-9_15","Dimitrios GlaroudisAthanasios IossifidesNatalia SpyropoulouIoannis D. Zaharakis","2018","http://link.springer.com/chapter/10.1007/978-3-030-03062-9_15","Chapter"
"User Interfaces for Self-reporting Emotions: A Systematic Literature Review","Ubiquitous Computing and Ambient Intelligence. Sensing, Processing, and Using Environmental Information","","","","10.1007/978-3-319-26401-1_30","Carolina FuentesCarmen GereaValeria HerskovicMaíra MarquesIyubanit RodríguezPedro O. Rossel","2015","http://link.springer.com/chapter/10.1007/978-3-319-26401-1_30","Chapter"
"Novel Consumer-to-Product Interactions with Context-Aware Embedded Platforms","Universal Access in Human-Computer Interaction. Aging and Assistive Environments","","","","10.1007/978-3-319-07446-7_50","Sönke KnochMatthieu DeruSimon BergweilerJens Haupert","2014","http://link.springer.com/chapter/10.1007/978-3-319-07446-7_50","Chapter"
"Correlation Between Heart Rate and Image Components","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_29","Min Woo ParkJiwon ImJieun KwonMincheol WhangEui Chul Lee","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_29","Chapter"
"Bigraph-Ensured Interoperability for System(-of-Systems) Emergence","On the Move to Meaningful Internet Systems: OTM 2014 Workshops","","","","10.1007/978-3-662-45550-0_25","Dominik WachholderChris Stary","2014","http://link.springer.com/chapter/10.1007/978-3-662-45550-0_25","Chapter"
"Activity Playback Modeling for Smart Home Simulation","Inclusive Smart Cities and e-Health","","","","10.1007/978-3-319-19312-0_8","Sirui LiuSumi HelalJae Woong Lee","2015","http://link.springer.com/chapter/10.1007/978-3-319-19312-0_8","Chapter"
"Visual Privacy by Context: A Level-Based Visualisation Scheme","Ubiquitous Computing and Ambient Intelligence. Personalisation and User Adapted Services","","","","10.1007/978-3-319-13102-3_55","José Ramón Padilla-LópezAlexandros Andre ChaaraouiFrancisco Flórez-Revuelta","2014","http://link.springer.com/chapter/10.1007/978-3-319-13102-3_55","Chapter"
"Towards Encouraging a Healthier Lifestyle and Increased Physical Activity – An App Incorporating Persuasive Design Principles","Human-Computer Interaction. Interaction in Context","","","","10.1007/978-3-319-91244-8_13","Sunny LadwaTor-Morten GrønliGheorghita Ghinea","2018","http://link.springer.com/chapter/10.1007/978-3-319-91244-8_13","Chapter"
"A Study on the Algorithm Design for Improving the Accuracy of Decision Tree","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_119","ChangSeup HanHeeJun MoonChangJae Kim","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_119","Chapter"
"High-Performance Simulation of Electrical Logging Data in Petroleum Reservoirs Using Graphics Processors","Parallel Computational Technologies","","","","10.1007/978-3-319-67035-5_14","Vyacheslav GlinskikhAlexander DudaevOleg Nechaev","2017","http://link.springer.com/chapter/10.1007/978-3-319-67035-5_14","Chapter"
"Remote Collaboration, Decision Support, and On-Demand Medical Image Analysis for Acute Stroke Care","Service Oriented and Cloud Computing","","","","10.1007/978-3-319-24072-5_15","Renan Sales BarrosJordi BorstSteven KleynenbergCéline BadrRama-Rao GanjiHubrecht de BliekLandry-Stéphane Zeng-EyindangaHenk van den BrinkCharles MajoieHenk MarqueringSílvia Delgado Olabarriaga","2015","http://link.springer.com/chapter/10.1007/978-3-319-24072-5_15","Chapter"
"Towards Cloud-Based Engineering Systems","Technological Innovation for Cloud-Based Engineering Systems","","","","10.1007/978-3-319-16766-4_1","João MartinsLuis M. Camarinha-MatosJoão GoesLuis Gomes","2015","http://link.springer.com/chapter/10.1007/978-3-319-16766-4_1","Chapter"
"Towards Ontology-Enhanced Cloud Services Discovery","Advanced Data Mining and Applications","","","","10.1007/978-3-319-14717-8_48","Abdullah AlfaziTalal H. NoorQuan Z. ShengYong Xu","2014","http://link.springer.com/chapter/10.1007/978-3-319-14717-8_48","Chapter"
"Database NewSQL Performance Evaluation for Big Data in the Public Cloud","Cloud Computing and Big Data","","","","10.1007/978-3-030-27713-0_10","María MurazzoPablo GómezNelson RodríguezDiego Medel","2019","http://link.springer.com/chapter/10.1007/978-3-030-27713-0_10","Chapter"
"An Enhanced Genetic Virtual Machine Load Balancing Algorithm for Data Center","Advances in Computing and Data Sciences","","","","10.1007/978-981-13-9939-8_22","Mala YadavJay Shankar Prasad","2019","http://link.springer.com/chapter/10.1007/978-981-13-9939-8_22","Chapter"
"Examing Significant Factors and Risks Affecting the Willingness to Adopt a Cloud–Based CRM","HCI in Business","","","","10.1007/978-3-319-07293-7_4","Nga Le Thi QuynhJon HealesDongming Xu","2014","http://link.springer.com/chapter/10.1007/978-3-319-07293-7_4","Chapter"
"Ideal Quantification of Chaos at Finite Resolution","Computational Science and Its Applications – ICCSA 2014","","","","10.1007/978-3-319-09144-0_12","Islam ElShaarawyWalid Gomaa","2014","http://link.springer.com/chapter/10.1007/978-3-319-09144-0_12","Chapter"
"Cellular Programming","Theory and Practice of Natural Computing","","","","10.1007/978-3-319-13749-0_2","Peter NiebertMathieu Caralp","2014","http://link.springer.com/chapter/10.1007/978-3-319-13749-0_2","Chapter"
"Toward Human-Magic Interaction: Interfacing Biological, Tangible, and Cultural Technology","HCI International 2018 – Posters' Extended Abstracts","","","","10.1007/978-3-319-92285-0_30","Pat PataranutapornKimberly Lyle","2018","http://link.springer.com/chapter/10.1007/978-3-319-92285-0_30","Chapter"
"Evaluation of a Context-Aware Application for Mobile Robot Control Mediated by Physiological Data: The ToBITas Case Study","Ubiquitous Computing and Ambient Intelligence. Personalisation and User Adapted Services","","","","10.1007/978-3-319-13102-3_26","Borja GamechoJosé GuerreiroAna Priscila AlvesAndré LourençoHugo Plácido da SilvaLuis GardeazabalJulio AbascalAna Fred","2014","http://link.springer.com/chapter/10.1007/978-3-319-13102-3_26","Chapter"
"A Multimodal Fingers Classification for General Interactive Surfaces","Intelligent Computing Methodologies","","","","10.1007/978-3-319-09339-0_52","Vitoantonio BevilacquaDonato BaroneMarco Suma","2014","http://link.springer.com/chapter/10.1007/978-3-319-09339-0_52","Chapter"
"Agent-Based Nonlocal Social Systems: Neurodynamic Oscillations Approach","Social Computing and Social Media","","","","10.1007/978-3-319-07632-4_24","Darius PlikynasSaulius Masteika","2014","http://link.springer.com/chapter/10.1007/978-3-319-07632-4_24","Chapter"
"Supporting Real-Time Message Delivery in Disaster Relief Efforts: An Analytical Approach","Ubiquitous Computing and Ambient Intelligence","","","","10.1007/978-3-319-67585-5_57","Rodrigo M. SantosJavier OrozcoSergio F. OchoaRoc MeseguerDaniel Mosse","2017","http://link.springer.com/chapter/10.1007/978-3-319-67585-5_57","Chapter"
"From Smart Clothing to Smart Table Cloth: Design and Implementation of a Large Scale, Textile Pressure Matrix Sensor","Architecture of Computing Systems – ARCS 2014","","","","10.1007/978-3-319-04891-8_14","Bo ZhouJingyuan ChengMathias SundholmPaul Lukowicz","2014","http://link.springer.com/chapter/10.1007/978-3-319-04891-8_14","Chapter"
"Impact of User Data Privacy Management Controls on Mobile Device Investigations","Advances in Digital Forensics XII","","","","10.1007/978-3-319-46279-0_5","Panagiotis AndriotisTheo Tryfonas","2016","http://link.springer.com/chapter/10.1007/978-3-319-46279-0_5","Chapter"
"Digital Innovation and Social Dilemmas","Creating Value for All Through IT","","","","10.1007/978-3-662-43459-8_4","Maria ÅkessonMichel Thomsen","2014","http://link.springer.com/chapter/10.1007/978-3-662-43459-8_4","Chapter"
"Educational Robots for Internet-of-Things Supported Collaborative Learning","Information and Software Technologies","","","","10.1007/978-3-319-11958-8_28","Ignas PlauskaRobertas Damaševičius","2014","http://link.springer.com/chapter/10.1007/978-3-319-11958-8_28","Chapter"
"A Novel Approach for Security in Cloud-Based Medical Image Storage Using Segmentation","Ubiquitous Networking","","","","10.1007/978-3-319-68179-5_22","Mbarek MarwanAli KartitHassan Ouahmane","2017","http://link.springer.com/chapter/10.1007/978-3-319-68179-5_22","Chapter"
"The Importance of Metaphors for User Interaction with Mobile Devices","Design, User Experience, and Usability: Users and Interactions","","","","10.1007/978-3-319-20898-5_50","Chrysoula Gatsou","2015","http://link.springer.com/chapter/10.1007/978-3-319-20898-5_50","Chapter"
"Decision Support Based on Human-Machine Collective Intelligence: Major Challenges","Internet of Things, Smart Spaces, and Next Generation Networks and Systems","","","","10.1007/978-3-030-30859-9_10","Alexander SmirnovAndrew Ponomarev","2019","http://link.springer.com/chapter/10.1007/978-3-030-30859-9_10","Chapter"
"SaSYS: A Swipe Gesture-Based System for Exploring Urban Environments for the Visually Impaired","Mobile Computing, Applications, and Services","","","","10.1007/978-3-319-05452-0_5","Jee-Eun KimMasahiro BesshoNoboru KoshizukaKen Sakamura","2014","http://link.springer.com/chapter/10.1007/978-3-319-05452-0_5","Chapter"
"Modelling Energy-Aware Task Allocation in Mobile Workflows","Mobile and Ubiquitous Systems: Computing, Networking, and Services","","","","10.1007/978-3-319-11569-6_8","Bo GaoLigang He","2014","http://link.springer.com/chapter/10.1007/978-3-319-11569-6_8","Chapter"
